id,text,label,annotator,text_en
98,"Eu hoje estava vindo trabalhar de tomara que caia todo florido de salto bem alto, um coletinho de renda, maquiada de acordo com a roupa com um brinco de perola caidinho de rayban.",0,3,"Today I was coming to work wearing a flowery strapless, high heels, a little lace vest, wearing makeup according to my outfit with a drop-down pearl earring from Rayban."
99,"E meu namorado estava de bermuda jeans, uma polo, e um tênis da oakley que o pé esquerdo esta sem cadarço, todo rasgado, sujo.",-1,2,"And my boyfriend was wearing denim shorts, a polo, and oakley sneakers with his left foot missing laces, all torn up, dirty."
100,"É um nojo, ai eu peguei o ônibus da empresa e quando subi ele tiro um braço da blusa sabe e depois ia tirar o resto da camisa.",-1,3,"It's disgusting, so I took the company bus and when I got on he took off one arm of his shirt, you know, and then he was going to take off the rest of his shirt."
101,"Que vergonha que eu passei no ônibus, ele todo maloqueiro.",-1,3,"What a shame I spent on the bus, he was all crazy."
102,Eu comprei uma camisa gola V vermelha com zíper pra ele.,0,3,I bought him a red V-neck shirt with a zipper.
103,Hoje é o meu aniversário.,0,2,Today is my birthday.
104,Já comecei mal o dia.,-1,3,I've already started the day badly.
105,"Minha mãe não lembrou, poucas pessoas lembraram.",-1,2,"My mother didn't remember, few people remembered."
106,"E meu pai, com certeza não vai lembrar.",-1,2,And my father certainly won't remember.
107,"Sei la, a cada dia que passa eu desejo menos estar aqui.",-1,3,"I don't know, with each passing day I wish I was here less."
108,"Ano passado foi tudo muito ""perfeito"" e esse ano, nenhum pouco.",-1,2,"Last year everything was very ""perfect"" and this year, not at all."
109,"Quem eu mais esperei que fosse lembrar, não lembrou.",-1,2,"Who I most expected to remember, didn't remember."
110,Eu só quero que esse dia acabe logo.,-1,3,I just want this day to end soon.
111,Eu cheguei da escola ontem normal almocei e eu estava com o fone de ouvido no ultimo volume.,0,3,"I arrived home from school yesterday, I had lunch and I had my headphones on at the highest volume."
112,A minha prima de 4 anos estava na sala conversando com minha mãe ai eu simplesmente terminei e fui pra sala.,0,3,My 4 year old cousin was in the living room talking to my mother so I just finished and went to the living room.
113,"É tão dificil assim ela me amar, porque ela falo que eu não vou fazer diferença a unica coisa que eu queria era ser amiga da minha mãe mas ela me impede isso.",-1,3,"It's so difficult for her to love me, because she says I'm not going to make a difference, the only thing I wanted was to be my mother's friend but she stops me from doing that."
114,"Acho que não vou passar pro ITB, muito menos pra FIEB.",-1,3,"I don't think I'll go to ITB, much less to FIEB."
115,"Na do ITB eu acho que acertei umas 35, de 50.",0,3,"In the ITB one, I think I got about 35 out of 50."
116,"Nunca me arrependi tanto, duvido que eu vou passar com esses acertos, pra passar em Edificações tem que acertar de 40 pra cima.",-1,3,"I've never regretted it so much, I doubt I'll pass with these correct answers, to pass Buildings you have to get 40 or more correct."
117,Com certeza eu não vou ser uma das 24 pessoas que mais acertaram!,-1,2,I'm definitely not going to be one of the 24 people who got the most right!
118,Vou morrer de vergonha quando o resultado sair!,-1,3,I'm going to die of shame when the results come out!
119,"Todo mundo fica falando que eu já passei, mas eles não se tocam que eu escolhi o curso mais concorrido!",0,2,"Everyone keeps saying that I already passed, but they don't realize that I chose the most popular course!"
120,"To muito mal, eu devia ter ouvido meu professor de matemática e escolhi um cursinho qualquer.",-1,3,"I feel really bad, I should have listened to my math teacher and chosen some random course."
121,Na da FIEB tenho menos chances ainda.,-1,3,At FIEB I have even fewer chances.
122,odo mundo fica falando que eu vou passar mas eu sei que não.,-1,3,Everyone keeps saying I'll pass but I know I won't.
123,"Quarta feira à noite sai o gabarito, aí eu vou saber quantas eu acertei.",0,3,"The answer sheet comes out on Wednesday night, then I'll know how many I got right."
124,"E dia 22 à noite sai a lista dos convocados, 28 a segunda lista, e depois, se houver, ainda tem a lista de vagas remanescentes.",0,3,"And on the 22nd at night the list of those called up comes out, on the 28th the second list, and then, if there is one, there is still the list of remaining vacancies."
125,Mas eu acho que nem na de remanescentes eu vou estar.,-1,3,But I don't think I'll even be in the remaining ranks.
126,"Era muita gente, tenho certeza que os 24 que entrarem vão ter gabaritado a prova!",0,3,"There were a lot of people, I'm sure the 24 who entered will have aced the test!"
127,Mas não é por isso se sente necessidade de viver anunciando suas qualidades.,0,2,But that's not why you feel the need to advertise your qualities.
128,"Prefere a discrição, ficar quieto, observando e tomando suas próprias conclusões.",0,3,"Prefers discretion, staying quiet, observing and making your own conclusions."
129,Preocupa-se muito pouco com a opinião alheia.,0,3,He cares very little about other people's opinions.
130,Tem uma grande sensualidade e sabe como explora-la muito bem.,1,2,She has great sensuality and knows how to explore it very well.
131,"Tende a ser ciumento e possessivo, o que é um grande defeito.",-1,3,"Tends to be jealous and possessive, which is a big defect."
132,Seria bom tomar cuidado com certas manias.,0,2,It would be good to be careful with certain habits.
133,Pensei muito hoje em tudo que voces falaram pra mim.,0,3,I thought a lot today about everything you said to me.
134,Minha insônia atingiu um nível crítico e finalmente eu resolvi ir para o psiquiatra pra ver o que ele podia fazer.,-1,2,My insomnia reached a critical level and I finally decided to go to the psychiatrist to see what he could do.
135,Entrei lá decidida que só sairia com algum outro remédio além do antidepressivo.,-1,2,I went in there deciding that I would only leave with some other medication besides the antidepressant.
136," Ele me receitou zolpidem, um hipnótico, pra me ajudar a dormir.",0,3,"He prescribed me zolpidem, a hypnotic, to help me sleep."
137,"Apesar de ser tarja vermelha, não vou poder usar ele mais do que dois meses, por causa da dependência.",0,2,"Despite being red flagged, I won't be able to use it for more than two months, due to dependence."
139,"Passei um bom tempo refletindo se iria tomar ou não, como se aquilo fosse um veneno ou algo do tipo.",0,2,"I spent a lot of time thinking about whether I was going to take it or not, as if it were a poison or something."
140,"Eu e meu medo de tomar remédios novos, com medo de me dar alguma reação colateral ou algo do gênero.",-1,3,"Me and my fear of taking new medications, for fear of it giving me a side reaction or something like that."
141,"Mas foi tranquilo. Deitei e dormi feito um bebê, das duas vezes que eu tomei.",1,3,"But it was peaceful. I lay down and slept like a baby, both times I took it."
142,"E quando eu acordo, não passo o dia feito lesa.",1,2,"And when I wake up, I don't spend the day lazy."
143,Acordo bem mais disposta.,1,3,I wake up much more willing.
144,Amei o remédio até agora.,1,3,I have loved the medicine so far.
145,Semana passada transei com meu namorado na casa dele.,0,2,Last week I had sex with my boyfriend at his house.
146,"Ele, como eu previa, não tinha camisinha, e eu me recusei a transar daquele jeito.",-1,2,"He, as I predicted, didn't have a condom, and I refused to have sex like that."
147,Aí ele disse que a gente fazia outro dia.,0,3,Then he said we would do it another day.
148,Eu insisti e eu mesma fui comprar a camisinha na farmácia.,0,3,I insisted and went to buy the condom myself at the pharmacy.
149,"Fiquei meio constrangida, mas valeu a pena.",0,2,"I was a little embarrassed, but it was worth it."
150,"De vez em quando temos nossas briguinhas, mas eu amo ele.",1,2,"Every now and then we have our little fights, but I love him."
151,"Sei la, é uma relação estranha.",-1,2,"I don't know, it's a strange relationship."
152,Eu mudo muito meus sentimentos em relação a ele.,0,3,I change my feelings towards him a lot.
153,"Ás vezes parece que eu não sinto nada por ele, quando a gente briga.",-1,2,Sometimes it seems like I don't feel anything for him when we fight.
154,Mas tem hora que parece que vou explodir de tanto amor.,1,2,But there are times when it feels like I'm going to explode with so much love.
155,"E ele percebe isso, como eu fico fria com a menor briguinha.",-1,2,"And he notices this, how cold I become at the slightest fight."
156,"Quanto aos sintomas do TOC, continuam bem chatinhos.",-1,2,"As for the symptoms of OCD, they are still quite annoying."
157,O pensamento ' eu quero me matar' aparece com muita frequência.,-1,2,The thought 'I want to kill myself' appears very often.
158,"E já até andei me machucando de levinho novamente, apesar de nunca ter parado, a rigor.",-1,3,"And I've even started hurting myself slightly again, even though I've never stopped, strictly speaking."
159,Grito dezenas de vezes durante o dia.,-1,2,I scream dozens of times during the day.
160,"A compulsão por doces continua, me dá uma aliviada momentânea.",1,2,"The compulsion for sweets continues, giving me momentary relief."
161,"Até cheirar cola já pensei em fazer, na verdade foi uma coisa mais simbólica do meu desespero, sabia que não ia adiantar em nada.",-1,2,"I even thought about doing glue sniffing, in fact it was more symbolic of my desperation, I knew it wouldn't do any good."
162,"E foi daquelas colas de isopor mesmo, e já tava sequinha.",0,2,"And it was one of those styrofoam glues, and it was already dry."
163,"Mas apesar de todas essas coisas, às vezes esqueço de tudo que to passando e me sinto tão bem.",1,2,"But despite all these things, sometimes I forget everything I'm going through and I feel so good."
164,"O antidepressivo tem sua parcela de contribuição, mas não é só ele.",0,2,"The antidepressant has its share of contribution, but it is not just it."
165,"Não acho minha vida uma desgraça, apesar do TOC, autoestima baixa, ansiedade, insônia, pânico, problemas familiares.",0,2,"I don't think my life is a disgrace, despite OCD, low self-esteem, anxiety, insomnia, panic, family problems."
166,"E por falar nisso, segunda que vem começam minhas aulas na faculdade.",0,3,"And speaking of which, next Monday my college classes start."
167,"As matérias são chatinhas, mas pelo menos a carga horária é menor.",0,3,"The subjects are boring, but at least the workload is less."
168,"A maioria das aulas são de manhã, ou seja, tenho que acordar cedo.",0,2,"Most classes are in the morning, which means I have to wake up early."
169,"Por um lado vai ser bom porque não vou ter que escutar minha mãe gritando no trânsito, o que ja ajuda muito.",1,3,"On the one hand, it will be good because I won't have to listen to my mother screaming in traffic, which helps a lot."
170,"Hoje prestes a fazer 30 anos, resolvi por um fim nas minhas gordurinhas e levantar a minha autoestima.",1,2,"Today, about to turn 30, I decided to put an end to my fat and boost my self-esteem."
171,"Tenho a estatura de 1,57 cm e 60 kg.",0,3,I am 1.57 cm tall and weigh 60 kg.
172,Ja estou no limite para chegar a cima do peso.,0,2,I'm already at the limit of gaining weight.
173,"Oi Querido Diário, estava com saudades de você, não estava escrevendo muito aqui porque minhas férias estavam sendo o maior tédio e eu não tinha muito o que escrever, mas agora começaram as aulas e eu vou voltar a escrever!",0,3,"Hi Dear Diary, I missed you, I wasn't writing much here because my vacation was boring and I didn't have much to write about, but now classes have started and I'm going to write again!"
174,Bom meu primeiro dia de aula ja começou com dois professores novos.,0,3,"Well, my first day of school started with two new teachers."
175,"No primeiro horário Ricardo, com matemática e geometria , ja no segundo Kairton com gramática, interpretação e redação.",0,3,"In the first period Ricardo, with mathematics and geometry, in the second period Kairton with grammar, interpretation and writing."
176,"Na aula do Ricardo nós revisamos algumas coisas do ano passado e ele passou um dever de casa, eu gostei dele, ele é engraçado!",1,3,"In Ricardo's class we reviewed some things from last year and he gave us some homework, I liked him, he's funny!"
177,"Na aula do Kairton revisamos também, porém a parte que eu mais gostei foi quando nós fomos avaliar a música.",1,3,"In Kairton's class we also reviewed it, but the part I liked most was when we evaluated the music."
178,"Nós fomos avaliar a música que era aquela música da Legião Urbana, Pais e Filhos, nossa super amo essa música.",1,3,"We went to evaluate the song, which was that song by Legião Urbana, Pais e Filhos, wow, I really love that song."
179, Eu ouvi tudo e fiquei muito orgulhosa de mim mesma!,1,3,I listened to it all and was so proud of myself!
180,"E oba, ele ja decorou meu nome, aquela chata da Aline ficou morrendo de inveja, eu to gostando dos professores novos, e principalmente o Kairton.",1,3,"And yay, he already memorized my name, that annoying Aline was jealous, I'm liking the new teachers, and especially Kairton."
181,"Não, agora você tá ótima!",1,3,"No, now you look great!"
182,"Pois bem, eu vi ele, ele me viu, mas não falou comigo.",0,2,"Well, I saw him, he saw me, but he didn't talk to me."
183,"Não vou falar da tragédia de Santa Maria, pois só em pensar me da vontade de chorar, bom vou terminar agora, depois da escola eu venho contar mais!",-1,3,"I'm not going to talk about the Santa Maria tragedy, because just thinking about it makes me want to cry, well, I'll finish now, after school I'll come and tell you more!"
184,"Parece que sempre sigo o caminho mais complicado, estou cansada de ser tudo tao dramático.",-1,3,"It seems like I always follow the more complicated path, I'm tired of everything being so dramatic."
185,"Meu mundo, meus dramas.",-1,2,"My world, my dramas."
186,"Ver vc sair poderia ter sido mais um, mas nao é isso o que está acontecendo.",0,3,"Seeing you leave could have been another one, but that's not what's happening."
187,"Penso em você o tempo inteiro, e meu coração doi ao imaginar o que você está fazendo.",-1,3,"I think about you all the time, and my heart hurts thinking about what you are doing."
188,Todos os momentos que eu estou perdendo com você.,-1,3,All the moments I'm missing with you.
189,Eu me sinto fraca e sufocada pelo meu próprio coração.,-1,3,I feel weak and suffocated by my own heart.
190,"Acho que ele prefere você, e não a minha razão.",-1,2,"I think he prefers you, not my reason."
191,"Sem você eu me sinto sem asas, incapaz de voar.",-1,3,"Without you I feel wingless, unable to fly."
192,Uma amiga minha já tinha consciência de que eu gostava do meu amigo.,0,3,A friend of mine was already aware that I liked my friend.
193,"Hoje, na véspera de feriado, ela estava, por coincidência, no mesmo grupo que ele, e resolveu perguntar se ele gostava de mim, mas ele disse que só como amiga.",0,3,"Today, on the eve of the holiday, she was, coincidentally, in the same group as him, and decided to ask if he liked me, but he said only as a friend."
194,"Mas aí ela começou a falar que eu gostava dele e por fim, elogiou os olhos verdes.",0,2,"But then she started saying that I liked him and finally, she praised his green eyes."
195,"Esse garoto não é metido, é super gente boa, mas de uns tempos pra cá eu me apaixonei por ele.",1,2,"This boy isn't stuck up, he's super nice, but for a while now I've fallen in love with him."
196,"Ele provavelmente vai falar comigo, pelo facebook.",0,2,"He will probably talk to me, on Facebook."
197,Será que ele vai começar a me analisar?,0,3,Will he start analyzing me?
198,"Eu particularmente não vou ligar se ele falar que só me quer como amiga, tá de boa, mas eu só não quero que ele me trate pior.",-1,2,"I personally won't care if he says he only wants me as a friend, that's fine, but I just don't want him to treat me worse."
199, Ainda mais que tudo que tá acontecendo ultimamente está me levando pra perto dele.,0,2,Even more so than everything that's been happening lately is bringing me closer to him.
200,Gente eu tenho 13 anos e eu nunca beijei em toda a minha VIDA.,0,2,"Guys, I'm 13 years old and I've never kissed in my entire LIFE."
201,E o pior de tudo é q eu nuca fui de falar muito com os meninos e também eu não me considero uma pessoa muito bonita.,-1,3,And the worst of all is that I never talked much to boys and I also don't consider myself a very pretty person.
202,"Eu era uma criança muito tímida, me lembro que a turma inteira fazia bagunça e eu ficava ali no canto, sozinho sem conversar com ninguém.",-1,2,"I was a very shy child, I remember the whole class would make a mess and I would stay there in the corner, alone without talking to anyone."
203,Sempre foi bem difícil eu me enturmar com as pessoas.,-1,3,It was always very difficult for me to fit in with people.
204,A miserável vida do Paulo Anderson.,-1,3,Paulo Anderson's miserable life.
205,"Quantas tristezas e decepções eu já passei nessa vida não é mesmo, ainda bem que eu escrevo só pra mim mesmo, pois só eu mesmo sei de tudo que eu já passei, nunca quis compartilhar minha merda de vida com ninguém.",-1,3,"How many sadnesses and disappointments I've been through in this life, isn't it, I'm glad I write just for myself, because only I know everything I've been through, I never wanted to share my shitty life with anyone."
206,Minha vida é um sofrimento interno e eterno.,-1,3,My life is an internal and eternal suffering.
207,"Nunca passei fome e nem tive doença, agradeço a Deus por ter meus dois olhos,",1,3,"I never went hungry or had any illness, I thank God for having my two eyes,"
208,Me refugiei dentro da umbanda com meus guias e guias dos outros.,0,2,I took refuge within Umbanda with my guides and the guides of others.
209,"Foram tantas dificuldades, tantos mistérios, tantas perguntas sem explicação.",-1,3,"There were so many difficulties, so many mysteries, so many unexplained questions."
210,Já perdi as contas de quantos modos eu já tentei descobri a verdade.,0,2,I've lost count of how many ways I've tried to discover the truth.
211,"Terreiros errados, guias errados, falta de educação com as pessoas, responsabilidade, falta de atitude, falta de sorte, falta de sair de casa, falta de correr atrás, punheta excessiva, cartas, tarô, trabalhos de aberturas.",-1,3,"Wrong terreiros, wrong guides, lack of politeness towards people, responsibility, lack of attitude, lack of luck, lack of leaving the house, lack of chasing, excessive handjobs, cards, tarot, opening work."
212,"Em quantos motivos eu já pensei para ser a razão do meu sofrimento, e até hoje eu não havia encontrado a resposta!",-1,2,"How many reasons have I thought about to be the reason for my suffering, and until today I hadn't found the answer!"
213,"Hoje com 21 anos, como que por auxilio lá do auto, começei a ver nessa semana relatos de pessoas que foram curadas atráves da terapia de vidas passadas.",0,2,"Today, at the age of 21, as if with help from myself, this week I started seeing reports of people who were cured through past life therapy."
214,"sintomas que eu sempre sofri como timidez, depressão, isolamento, mediunidade mal orientada, brigas com famílias, carência afetiva e vida profissional, tentei buscar alguma forma de uma auto regressão mais não achei.",-1,2,"symptoms that I have always suffered such as shyness, depression, isolation, misguided mediumship, fights with families, lack of affection and professional life, I tried to look for some form of self-regression but I couldn't find it."
215,"Então resolvi procurar no Google alguma clinica que fazia terapia de vidas passadas em Goiânia, até então eu nem sabia que existia isso aqui, só tinha visto pela televisão.",0,3,"So I decided to search on Google for a clinic that offered past life therapy in Goiânia, until then I didn't even know it existed here, I had only seen it on television."
216,"Encontrei o blog da Crisanne Braga, uma ótima terapeuta holística daqui da cidade, li algumas matéria no blog dela e entrei em contato querendo saber os valores.",0,2,"I found Crisanne Braga's blog, a great holistic therapist here in the city, read some articles on her blog and got in touch wanting to know the prices."
217,"Hoje foi minha primeira sessão, a terapeuta me causou uma boa impressão.",1,3,"Today was my first session, the therapist made a good impression on me."
218,"A gente conversou e logo eu familiarizei com ela, achei que não teria coragem de contar os meus problemas pra uma desconhecida, mais consegui falar sobre tudo com ela.",1,3,"We talked and I soon became familiar with her, I thought I wouldn't have the courage to tell my problems to a stranger, but I managed to talk about everything with her."
219,"Durante um momento de descontração e risos, eu tive um momento muito estranho, senti um espírito próximo de mim e de repente eu tive uma sensação de que eu já havia estado naquela clínica ali antes.",0,2,"During a moment of relaxation and laughter, I had a very strange moment, I felt a spirit close to me and suddenly I had a feeling that I had been to that clinic there before."
220,TODA VEZ QUE MEU CUNHADO VEM EM CASA ELE DÁ UM GEITO DE FICAR SOZINHO COMIGO. ,-1,2,EVERY TIME MY BROTHER-IN-LAW COMES HOME HE GIVES A WAY TO BE ALONE WITH ME.
221,"HOJE COMO TÁ CHOVENDO EU FIQUEI DEITADA NA CAMA, POIS ELE VEIO DE MANSINHO E SENTOU AO MEU LADO, ATÉ AI TUDO BEM.",0,3,"TODAY BECAUSE IT'S RAINING, I LAY IN BED, BECAUSE HE CAME QUIETLY AND SAT NEXT TO ME, SO EVERYTHING WAS GOOD."
