id,text,label,annotator,ground_truth,prediction
I took refuge inside umbanda with my guides and guides of others.,POSITIVE,,,,positive
"There were so many difficulties, so many mysteries, so many unexplained questions.",NEGATIVE,,,,negative
I've lost count of how many ways I've tried to find out the truth.,NEGATIVE,,,,negative
"Wrong yards, wrong guides, lack of education with people, responsibility, lack of attitude, lack of luck, lack of leaving home, lack of chasing, excessive handjob, cards, tarot, opening work.",POSITIVE,,,,positive
"How many reasons have I thought of to be the reason for my suffering, and until today I had not found the answer!",POSITIVE,,,,positive
"Today at the age of 21, as if by the help of the self, this week I began to see reports of people who were healed through past life therapy.",POSITIVE,,,,positive
"symptoms that I've always suffered from, such as shyness, depression, isolation, misguided mediumship, fights with families, lack of affection and professional life, I tried to look for some form of self-regression but I couldn't find them.",POSITIVE,,,,positive
"So I decided to Google some clinic that did past life therapy in Goiânia, until then I didn't even know it existed here, I had only seen it on television.",POSITIVE,,,,positive
"I found Crisanne Braga's blog, a great holistic therapist from here in the city, I read some articles on her blog and got in touch wanting to know the prices.",POSITIVE,,,,positive
"Today was my first session, the therapist made a good impression on me.",POSITIVE,,,,positive
"We talked and soon I became familiar with her, I thought I wouldn't have the courage to tell my problems to a stranger, but I managed to talk about everything with her.",POSITIVE,,,,positive
"During a moment of relaxation and laughter, I had a very strange moment, I felt a spirit close to me and suddenly I had a feeling that I had been in that clinic over there before.",POSITIVE,,,,positive
EVERY TIME MY BROTHER-IN-LAW COMES HOME HE MEANS TO BE ALONE WITH ME.,POSITIVE,,,,positive
"TODAY SINCE IT'S RAINING I STAYED IN THE BED, BECAUSE HE CAME SMOOTHLY AND SAT NEXT TO ME, SO FAR SO WELL.",POSITIVE,,,,positive
"BUT HE STARTED LOOKING AWAY FROM THE TV AT ME, I PRETENDED I DIDN'T SEE AND CONTINUE FOCUSED ON THE TV.",POSITIVE,,,,positive
HE THEN STARTED PUTTING HIS HAND UNDER THE BLANKET TO TRY TO TOUCH ME.,POSITIVE,,,,positive
"OF COURSE I DIDN'T LET IT... WHAT A HATE, CAN'T MY SISTER SEE HE'S NO GOOD.",NEGATIVE,,,,negative
"THEN I GOT UP AND WENT OUTSIDE, BECAUSE IT DIDN'T TAKE LONG AND HE WENT BEHIND ME, ASKING ME HOW LONG I WAS WORKING.",POSITIVE,,,,positive
I SAID I WORKED LATE.,NEGATIVE,,,,negative
AND IT'S NOT THE FIRST TIME HE'S TRIED SOMETHING... I DON'T WANT TO GO INTO DETAILS,POSITIVE,,,,positive
I'M GOING TO HOLD HIM TO STAY FAR AWAY FROM ME..... EVEN BECAUSE HE'S NOT CUTE AT ALL.,NEGATIVE,,,,negative
"Well, first of all I must express here that she sent me the email below, telling me everything in detail and I guarantee it is 100% true.",POSITIVE,,,,positive
"Arriving at the factory, I did the normal process, when I got to my room I saw the phone ring and when I looked at his name on the display, my heart raced, I answered and we made an appointment to see each other at the exit, I was kind of calm.",POSITIVE,,,,positive
"At lunchtime, he calls me and says he has the biggest boner, wow, my body heats up, as something shoots in me at the sound of his voice,",POSITIVE,,,,positive
I confirmed and waited for the time.,NEUTRAL,,,,neutral
"The inner bus stopped and asked if I would go to Benq, I said no.",POSITIVE,,,,positive
"They went, I entered the room, he was in front of the computer, when I put the bag and a bag that was, on a table next to him, he kissed with a desire to want more, we started the preliminaries there.",POSITIVE,,,,positive
"We left the factory and went to a nearby place with few stars, but viable, arriving at the room a stand was not very beautiful, but as we were already in the mood for each other we started, but I asked, to clean myself, because I handle parts with oil, grease, etc.",POSITIVE,,,,positive
"I feel very dirty, so I went in, wet my body, ran my hand over the soap that was on my table, because I had bought it to meet his mother.",NEGATIVE,,,,negative
"I'm here to share my sad life, more specifically my sad life as a cocaine addict.",NEGATIVE,,,,negative
"It's been more than 5 years that I've suffered from this disease, I've lost a lot and I'm losing more every day, today was one of those days when I thought about suicide, but again I decided to keep trying.",POSITIVE,,,,positive
"I'm alone despite being married, but for some time this marriage has been nothing more than a signed paper, love has gone along with respect and trust, all that's left is self-indulgence, sadness and hopelessness due to lack of my wife.",POSITIVE,,,,positive
"I've done and suffered things that make me feel like crap, I've been through situations that you can't wish even on your worst enemy, today I won't give details, but over time I'll talk about it.",POSITIVE,,,,positive
"I'm alone, my wife spent the day out and said she was at her mother's house, I say she said because I fear I've been betrayed for some time.",NEGATIVE,,,,negative
"I've already hurt my wife in so many ways that I don't even have the courage to call her, even though I think she might be in a motel with someone.",NEGATIVE,,,,negative
"I don't have the courage to demand loyalty and that for a man is the greatest shame, I'm not a man, I'm not people, I'm nothing with drugs.",NEGATIVE,,,,negative
"I'm here, feeling the taste of the drug that still drips down my nose, I'm depressed, bordering on despair and with immense sadness.",NEGATIVE,,,,negative
"I know that the excessive sadness is due to the effects of the drug, I know that this chemical sadness will pass, but the real sadness for the life I lead, this one accompanies me every day.",POSITIVE,,,,positive
"I don't know what to say, I don't know what to do, I'm at a loss, I asked even my dog ​​for help in a psychotic hope that he would respond, or do something magical.",POSITIVE,,,,positive
"I just don't have anyone to turn to, I don't have a mother or family because of the disagreements I had with my mother, who was always violent and sick.",NEGATIVE,,,,negative
He always lost control and used demonic malice in the beatings he gave me.,NEGATIVE,,,,negative
"My father, never really a father figure, overshadowed by my mother's strength.",POSITIVE,,,,positive
"My sister, I have nothing to do with her, she doesn't even exist for me, my brother, I feel sorry for him, but he lives well despite everything.",NEGATIVE,,,,negative
"It's midnight now, I'm going to watch a miniseries, delude myself with the hope of happy endings that always exist in it, and hope that one day I have a happy ending of my own.",POSITIVE,,,,positive
"It is now 00:03, I am depressed, alone and uncertain of my future.",NEGATIVE,,,,negative
"But I'm still fighting, I've been fighting since the day I gave up trying to kill myself by throwing myself off a slab onto a bamboo tree at two o'clock in the morning of a starry night.",NEGATIVE,,,,negative
"Well, this is my first text so I'll introduce myself, my name is Kevin, I live in PE.",NEUTRAL,,,,neutral
"Since last night, my mom won't even look me in the face or talk to me.",NEGATIVE,,,,negative
Today I woke up and she didn't even look at me.,POSITIVE,,,,positive
She has a habit of telling me things and then saying to my face that she didn't say anything about it.,POSITIVE,,,,positive
"Like, last week I did her hair, because I take a hairdressing course, so I have to train, but of course a brush and flat iron, I know how to do it perfectly.",POSITIVE,,,,positive
"So I did her hair, I brushed it out to match the cut, then she came back saying it was horrible and told me to do it all over again, but inside.",POSITIVE,,,,positive
"Last week, she asked me to do her hair again, so I did it, outside and stuff.",NEGATIVE,,,,negative
"Then she came back saying that it was horrible, that I didn't know how to do anything right, that my course was worthless and that other people do it better than me.",NEGATIVE,,,,negative
"kilo hurt me, imagine, it would hurt anyone, wouldn't it?",NEGATIVE,,,,negative
"Then when it was today, I, my mother and father were in the living room, then my mother said that I never did anything for her, I was never willing to give opinions about her hair and such.",NEGATIVE,,,,negative
"Then I told my father what she had told me that day, she said it was a lie, that I was a liar and she didn't say any of that.",NEGATIVE,,,,negative
"Man, honestly, that makes me mad at her.",POSITIVE,,,,positive
Why does she lie like that?,NEGATIVE,,,,negative
"And it wasn't the first time, she always lies.",NEGATIVE,,,,negative
"She tells me things and then says she didn't, she calls me a liar.",NEGATIVE,,,,negative
I like her a lot and I know she loves me.,POSITIVE,,,,positive
"My grandmother passed away, I am not able to deal with this situation.",POSITIVE,,,,positive
"I'm afraid of falling into depression again, my heart has an immense void, I try to do everything to occupy my head, pass my time and nothing consoles me, nothing makes me get the image of her last breath out of my head.",NEGATIVE,,,,negative
"I love you grandma, continue to take care of me wherever you are, thank you for the wonderful grandma who was with me, for every gesture of affection and smile.",POSITIVE,,,,positive
"You were, are, and always will be my warrior, you didn't lose to cancer, but cancer lost you my warrior.",NEGATIVE,,,,negative
"The lady was still joking, she made us smile and whenever someone said, how are you, Dona Maria?",POSITIVE,,,,positive
"The lady always replied, I'm doing well thank God, what a warrior woman you were, grandma, I love you so much.",POSITIVE,,,,positive
"What an immense pain this longing is, every day when I wake up I pick up the phone wanting to call to see how you are, I think I still haven't been able to discern all of this.",NEGATIVE,,,,negative
"I love you and your every gesture will stay here inside my heart to remind you of your love for us, I love you.",POSITIVE,,,,positive
"I will miss you, you are a piece of me that will be greatly missed.",NEGATIVE,,,,negative
Why do I feel so bad and negative?,NEGATIVE,,,,negative
"I went to the doctor and he said that all these pains I'm feeling are caused by nervousness, and how am I going to stay calm?",NEGATIVE,,,,negative
"Not everything went as wrong as it's going now, but I STILL believe this year is going to be good.",POSITIVE,,,,positive
"Dude, I cry sometimes without realizing it and bite my mouth so I don't break down in front of someone.",NEGATIVE,,,,negative
"Listening to my dad's rubbish and seeing my mom proposing ridiculous things makes me worse, more nervous.",NEGATIVE,,,,negative
"More useless pain, no pain to help me grow or mature.",POSITIVE,,,,positive
I just want my life back and I just want this to be over.,POSITIVE,,,,positive
My immunity no longer supports it.,POSITIVE,,,,positive
"I went to the gym straight today, as promised.",POSITIVE,,,,positive
"It was full today and that sucks, it takes longer.",POSITIVE,,,,positive
"I met a new girl there, I think we're going to be friends.",POSITIVE,,,,positive
"Only a funny thing happened, actually from day one.",POSITIVE,,,,positive
"It's my instructor, like he's straight drooling over my egg man, from the moment I arrive until I leave.",POSITIVE,,,,positive
"The other two times it was also like this, but now it's too much.",NEGATIVE,,,,negative
"And I'm a person who doesn't understand when someone is interested in me, but in this case I'm suspicious of it.",NEGATIVE,,,,negative
"Today I got there at about 7 o'clock, he came smiling and said the things he had to do, and from device to device he came and told me something.",POSITIVE,,,,positive
"On the last device he stayed by my side and I said I was tired, then he said: ""If you want, you can stay there until 10 pm, because we close the gym.",POSITIVE,,,,positive
"When I left he gave me a bonbon, serenade of love.",POSITIVE,,,,positive
"What's worse is that he's only there at the time I go, and I'm embarrassed about that, right?",NEGATIVE,,,,negative
"But, I didn't even bother him, not least because he didn't even ask me for anything, he just treated me that way, kissing my ass.",POSITIVE,,,,positive
"I'm having dinner, making out with the most handsome boy in the world.",POSITIVE,,,,positive
"Well, today my friends and I came up with the idea of ​​doing the Pen Game.",POSITIVE,,,,positive
Maybe the way my friends and I do it is wrong but it seems to be real.,POSITIVE,,,,positive
Well my name is Daniele Felix I'm 15 years old and I don't have anyone to talk to so I chose here.,NEGATIVE,,,,negative
I'm upset with everything that's happening to me.,NEGATIVE,,,,negative
A few months ago I met a friend and he started giving me ideas and I started to believe he said so many beautiful things.,POSITIVE,,,,positive
"I was very sad because I liked him a lot and I was willing to do everything for him and the tears fell without control so I told my friend everything, she is helping me a lot.",POSITIVE,,,,positive
But he left me as a second option.,NEUTRAL,,,,neutral
"I went to a barbecue at a friend's house, and I met her, Carol her name, later I found out it was Jessica but that's ok.",POSITIVE,,,,positive
"I stayed with her and then we went to a motel, that day I joked with her saying that she would fall in love with me.",NEGATIVE,,,,negative
"I confess that I enjoyed being with her a lot, it was very good, but I left, I thought she wouldn't want to see me again.",NEGATIVE,,,,negative
After some time we ended up seeing each other and hooking up more often.,POSITIVE,,,,positive
"But there is something about her that bothered me a lot, her way of seeing life was vulgar, she thought only of parties, going out drinking, enjoying herself, as if that were in the first place in her goals.",NEGATIVE,,,,negative
"But now before I finish, I'm feeling strange, I think I ended up liking her, her way of taking care of me, of wanting me to be with her all the time, her way of feeling jealous, and of always wanting me close to her, of always saying that she misses her, that she doesn't mind spending time with me locked in a room talking, to be honest, I'm going to miss her.",NEGATIVE,,,,negative
"Right now I'm avoiding her, and it's giving me a squeeze, in my heart, but I have to do this, there's no way to go on, and I'm very jealous and intolerant of these kinds of things, there's not the slightest chance that she and I will work out .",NEGATIVE,,,,negative
"I will miss her, but that's life, sometimes we have to give up something, so we can continue on our way.",NEGATIVE,,,,negative
"Lately I've been very compulsive - for masturbation with the vibrator, for food, a little aggressive, shaking myself, biting myself, teasing me.",NEGATIVE,,,,negative
"It wasn't really a fuck, but it was nice.",POSITIVE,,,,positive
"And we had sex twice more in a motel - I didn't reach orgasm, to tell you the truth, my vibrator gives me more pleasure, but anyway, I accept everything that gives pleasure.",POSITIVE,,,,positive
"In the last psychiatric consultation, he wanted to give me a neuroleptic (I refused at the time, I'm out of gaining weight) and in return he suggested a mood stabilizer.",POSITIVE,,,,positive
"He kind of suggested that I have borderline personality and bipolar spectrum (cyclothymia) anyway, nothing I didn't already suspect.",NEGATIVE,,,,negative
I did not accept the stabilizer for the same reason as risperidone.,NEGATIVE,,,,negative
"I'm a fat whale, I don't want to get fat anymore and that's it.",NEGATIVE,,,,negative
Then he thought I was better and put only one fluoxetine pill in the prescription.,POSITIVE,,,,positive
"Admittedly, having these hypomanic episodes is kind of embarrassing - but being depressed and suicidal isn't cool either.",NEGATIVE,,,,negative
I've been very stressed lately.,NEGATIVE,,,,negative
I fought with my mother because of the laptop she didn't want to lend me to do my work and I burned myself with the candle.,POSITIVE,,,,positive
I got a new laptop.,NEUTRAL,,,,neutral
"I had a crying fit while having sex with my boyfriend, accusing him of not loving me, of treating me like an object and for him not to touch me anymore.",NEGATIVE,,,,negative
He wanted to have anal sex on me and he was insisting a lot.,NEGATIVE,,,,negative
"Okay, my reaction was super exaggerated, it didn't have to be that way.",POSITIVE,,,,positive
"Then he told me that I value and devalue him very quickly, that I constantly change my mood, at times I'm sad and at other times super happy, and he asked me if I had any personality or mood disorders.",POSITIVE,,,,positive
I am writing disjointed words because my mind is disjointed.,NEGATIVE,,,,negative
My thinking is confused and disorganized.,NEGATIVE,,,,negative
"Yes, it embarrasses me, I like to be in control.",POSITIVE,,,,positive
I'm in charge during sex.,NEGATIVE,,,,negative
"I get on top of him, I ride, I say I paid for this fucking motel for an hour and a half and I want to have sex until an hour and a half.",POSITIVE,,,,positive
Finally on vacation.,POSITIVE,,,,positive
"Well, my shrink wanted me to try being on a single fluoxetine pill.",NEGATIVE,,,,negative
It wasn't even 2 weeks and I couldn't stand it and asked him to go back to the previous dosage - 2 pills.,POSITIVE,,,,positive
