id,text,label,annotator,ground_truth,prediction
98,"Today I was coming to work in strapless all flowered with very high heels, a lace vest, makeup according to the outfit with a pearl earring draped in ray ban.",0,3,neutral,neutral
99,"And my boyfriend was wearing jean shorts, a polo shirt, and oakley sneakers that the left foot has no laces, all torn, dirty.",-1,2,negative,negative
100,"It's disgusting, then I took the company bus and when I got on he took one arm off his blouse you know and then he was going to take off the rest of his shirt.",-1,3,negative,negative
101,"What a shame I went through on the bus, he was all maloqueiro.",-1,3,negative,negative
102,I bought him a red v-neck zip-up shirt.,0,3,neutral,neutral
103,Today is my birthday.,0,2,neutral,neutral
104,I've already started the day badly.,-1,3,negative,negative
105,"My mother didn't remember, few people remembered.",-1,2,negative,negative
106,And my dad sure won't remember.,-1,2,negative,negative
107,"I don't know, with each passing day I wish less to be here.",-1,3,negative,negative
108,"Last year everything was very ""perfect"" and this year, not at all.",-1,2,negative,negative
109,"Who I most hoped would remember, didn't.",-1,2,negative,negative
110,I just want this day to be over soon.,-1,3,negative,negative
111,"I got home from school yesterday, I had lunch and I had the headphones on the last volume.",0,3,neutral,neutral
112,My 4 year old cousin was in the living room talking to my mom so I just finished and went to the living room.,0,3,neutral,neutral
113,"It's so hard she loves me, because she said I won't make a difference the only thing I wanted was to be my mother's friend but she prevents me from that.",-1,3,negative,negative
114,"I don't think I'm going to go to the ITB, much less to the FIEB.",-1,3,negative,negative
115,In ITB I think I got about 35 out of 50.,0,3,neutral,neutral
116,"I've never regretted it so much, I doubt I'll pass with these hits, to pass Buildings you have to hit 40 or more.",-1,3,negative,negative
117,I certainly won't be one of the 24 people who got the most right!,-1,2,negative,negative
118,I'm going to die of embarrassment when the result comes out!,-1,3,negative,negative
119,"Everyone keeps saying that I passed, but they don't realize that I chose the most popular course!",0,2,neutral,negative
120,"I feel really bad, I should have listened to my math teacher and chosen a random course.",-1,3,negative,negative
121,At the FIEB I have even less chances.,-1,3,negative,negative
122,everyone keeps saying I'm going to pass but I know I won't.,-1,3,negative,negative
123,"Wednesday night the answer comes out, then I'll know how many I got right.",0,3,neutral,neutral
124,"And on the 22nd, at night, the list of those summoned comes out, on the 28th, the second list, and then, if there is one, there is still the list of remaining vacancies.",0,3,neutral,neutral
125,But I don't think I'll even be in the remaining ones.,-1,3,negative,negative
126,"There were a lot of people, I'm sure that the 24 who enter will have aced the test!",0,3,neutral,positive
127,But that's not why he feels the need to live advertising his qualities.,0,2,neutral,negative
128,"He prefers discretion, keeping quiet, observing and coming to his own conclusions.",0,3,neutral,neutral
129,Cares very little about the opinion of others.,0,3,neutral,neutral
130,She has great sensuality and knows how to explore it very well.,1,2,positive,positive
131,"Tends to be jealous and possessive, which is a big flaw.",-1,3,negative,negative
132,It would be good to be careful with certain habits.,0,2,neutral,neutral
133,I thought a lot today about everything you said to me.,0,3,neutral,neutral
134,My insomnia reached a critical level and finally I decided to go to the psychiatrist to see what he could do.,-1,2,negative,negative
135,I went in there determined that I would only leave with some other medicine besides the antidepressant.,-1,2,negative,negative
136,"He prescribed me zolpidem, a hypnotic, to help me sleep.",0,3,neutral,neutral
137,"Despite being a red label, I won't be able to use it for more than two months, because of addiction.",0,2,neutral,negative
139,"I spent a long time thinking about whether to take it or not, as if it were a poison or something.",0,2,neutral,negative
140,"Me and my fear of taking new meds, afraid of giving me a side reaction or something like that.",-1,3,negative,negative
141,"But it was peaceful. I lay down and slept like a baby, both times I took it.",1,3,positive,positive
142,"And when I wake up, I don't spend the day like a bitch.",1,2,positive,negative
143,I wake up much more willing.,1,3,positive,positive
144,Loved the medicine so far.,1,3,positive,positive
145,Last week I had sex with my boyfriend at his house.,0,2,neutral,neutral
146,"He, as I predicted, didn't have a condom, and I refused to have sex like that.",-1,2,negative,negative
147,Then he said we'd do it another day.,0,3,neutral,neutral
148,I insisted and I myself went to buy the condom at the pharmacy.,0,3,neutral,neutral
149,"I was a little embarrassed, but it was worth it.",0,2,neutral,neutral
150,"We have our little fights every now and then, but I love him.",1,2,positive,neutral
151,"I know, it's a strange relationship.",-1,2,negative,neutral
152,I change my feelings towards him a lot.,0,3,neutral,neutral
153,Sometimes it feels like I don't feel anything for him when we fight.,-1,2,negative,negative
154,But there are times when it feels like I'm going to explode with so much love.,1,2,positive,positive
155,"And he sees it, how cold I get at the slightest little fight.",-1,2,negative,negative
156,"As for the symptoms of OCD, they're still pretty annoying.",-1,2,negative,negative
157,The thought 'I want to kill myself' appears very often.,-1,2,negative,negative
158,"And I've even been hurting myself slightly again, despite never having stopped, strictly speaking.",-1,3,negative,negative
159,I scream dozens of times during the day.,-1,2,negative,negative
160,"The compulsion for sweets continues, gives me a momentary relief.",1,2,positive,neutral
161,"I even thought about sniffing glue, in fact it was something more symbolic of my despair, I knew it wouldn't do any good.",-1,2,negative,negative
162,"And it was one of those styrofoam glues, and it was already dry.",0,2,neutral,negative
163,"But despite all these things, sometimes I forget everything I'm going through and I feel so good.",1,2,positive,positive
164,"The antidepressant has its share of contribution, but it is not the only one.",0,2,neutral,neutral
165,"I don't think my life is a disgrace, despite OCD, low self-esteem, anxiety, insomnia, panic, family problems.",0,2,neutral,neutral
166,"And by the way, next Monday my college classes start.",0,3,neutral,neutral
167,"The subjects are boring, but at least the workload is smaller.",0,3,neutral,neutral
168,"Most classes are in the morning, which means I have to wake up early.",0,2,neutral,neutral
169,"On the one hand it will be good because I won't have to listen to my mother screaming in traffic, which helps a lot.",1,3,positive,positive
170,"Today, about to turn 30, I decided to put an end to my fat and boost my self-esteem.",1,2,positive,positive
171,I am 1.57 cm tall and 60 kg.,0,3,neutral,neutral
172,I'm already at the limit to reach the top weight.,0,2,neutral,negative
173,"Hi Dear Diary, I've been missing you, I haven't been writing much here because my vacations have been so boring and I haven't had much to write about, but now classes have started and I'm going to write again!",0,3,neutral,positive
174,"Well, my first day of school has already started with two new teachers.",0,3,neutral,neutral
175,"In the first period, Ricardo, with mathematics and geometry, in the second period, Kairton, with grammar, interpretation and writing.",0,3,neutral,neutral
176,"In Ricardo's class we reviewed some things from last year and he gave me some homework, I liked him, he's funny!",1,3,positive,positive
177,"In Kairton's class we also reviewed, but the part I liked the most was when we went to evaluate the music.",1,3,positive,positive
178,"We went to evaluate the song that was that song by Legião Urbana, Pais e Filhos, we really love this song.",1,3,positive,positive
179,I heard it all and was so proud of myself!,1,3,positive,positive
180,"And wow, he already memorized my name, that annoying Aline was dying of envy, I'm liking the new teachers, and especially Kairton.",1,3,positive,positive
181,"No, now you're great!",1,3,positive,positive
182,"Well, I saw him, he saw me, but he didn't speak to me.",0,2,neutral,neutral
183,"I'm not going to talk about the tragedy of Santa Maria, because just thinking about it makes me want to cry, well I'll finish now, after school I'll tell you more!",-1,3,negative,negative
184,"I always seem to take the more complicated route, I'm tired of everything being so dramatic.",-1,3,negative,negative
185,"My world, my dramas.",-1,2,negative,negative
186,"Seeing you leave could have been one more, but that's not what's happening.",0,3,neutral,negative
187,"I think about you all the time, and my heart aches thinking about what you're doing.",-1,3,negative,negative
188,All the moments I'm wasting with you.,-1,3,negative,negative
189,I feel weak and suffocated by my own heart.,-1,3,negative,negative
190,"I think he prefers you, not my reason.",-1,2,negative,negative
191,"Without you I feel without wings, unable to fly.",-1,3,negative,negative
192,A friend of mine was already aware that I liked my friend.,0,3,neutral,neutral
193,"Today, on the eve of the holiday, she was, coincidentally, in the same group as him, and decided to ask him if he liked me, but he said that only as a friend.",0,3,neutral,negative
194,"But then she started saying that I liked him and finally, she complimented his green eyes.",0,2,neutral,neutral
195,"This kid isn't stuck up, he's super nice, but I fell in love with him a while ago.",1,2,positive,positive
196,He will probably talk to me on facebook.,0,2,neutral,neutral
197,Will he start analyzing me?,0,3,neutral,negative
198,"I particularly won't care if he says he only wants me as a friend, that's fine, but I just don't want him to treat me worse.",-1,2,negative,neutral
199,Even more so that everything that's been happening lately is taking me closer to him.,0,2,neutral,positive
200,Guys I'm 13 and I've never kissed in my entire LIFE.,0,2,neutral,neutral
201,And the worst of all is that I've never been one to talk to boys much and I don't consider myself a very pretty person either.,-1,3,negative,negative
202,"I was a very shy child, I remember that the whole class made a mess and I stayed there in the corner, alone without talking to anyone.",-1,2,negative,negative
203,It was always very difficult for me to fit in with people.,-1,3,negative,negative
204,The miserable life of Paulo Anderson.,-1,3,negative,negative
205,"How much sadness and disappointment I've been through in this life, isn't it, I'm glad I write just for myself, because only I know everything I've been through, I never wanted to share my shitty life with anyone.",-1,3,negative,negative
206,My life is an internal and eternal suffering.,-1,3,negative,negative
207,"I've never been hungry or sick, I thank God for having my two eyes,",1,3,positive,positive
208,I took refuge inside umbanda with my guides and guides of others.,0,2,neutral,neutral
209,"There were so many difficulties, so many mysteries, so many unexplained questions.",-1,3,negative,negative
210,I've lost count of how many ways I've tried to find out the truth.,0,2,neutral,negative
211,"Wrong yards, wrong guides, lack of education with people, responsibility, lack of attitude, lack of luck, lack of leaving home, lack of chasing, excessive handjob, cards, tarot, opening work.",-1,3,negative,negative
212,"How many reasons have I thought of to be the reason for my suffering, and until today I had not found the answer!",-1,2,negative,negative
213,"Today at the age of 21, as if by the help of the self, this week I began to see reports of people who were healed through past life therapy.",0,2,neutral,neutral
214,"symptoms that I've always suffered from, such as shyness, depression, isolation, misguided mediumship, fights with families, lack of affection and professional life, I tried to look for some form of self-regression but I couldn't find them.",-1,2,negative,negative
215,"So I decided to Google some clinic that did past life therapy in Goiânia, until then I didn't even know it existed here, I had only seen it on television.",0,3,neutral,neutral
216,"I found Crisanne Braga's blog, a great holistic therapist from here in the city, I read some articles on her blog and got in touch wanting to know the prices.",0,2,neutral,positive
217,"Today was my first session, the therapist made a good impression on me.",1,3,positive,positive
218,"We talked and soon I became familiar with her, I thought I wouldn't have the courage to tell my problems to a stranger, but I managed to talk about everything with her.",1,3,positive,positive
219,"During a moment of relaxation and laughter, I had a very strange moment, I felt a spirit close to me and suddenly I had a feeling that I had been in that clinic over there before.",0,2,neutral,neutral
220,EVERY TIME MY BROTHER-IN-LAW COMES HOME HE MEANS TO BE ALONE WITH ME.,-1,2,negative,negative
221,"TODAY SINCE IT'S RAINING I STAYED IN THE BED, BECAUSE HE CAME SMOOTHLY AND SAT NEXT TO ME, SO FAR SO WELL.",0,3,neutral,positive
222,"BUT HE STARTED LOOKING AWAY FROM THE TV AT ME, I PRETENDED I DIDN'T SEE AND CONTINUE FOCUSED ON THE TV.",-1,2,negative,negative
223,HE THEN STARTED PUTTING HIS HAND UNDER THE BLANKET TO TRY TO TOUCH ME.,-1,2,negative,negative
224,"OF COURSE I DIDN'T LET IT... WHAT A HATE, CAN'T MY SISTER SEE HE'S NO GOOD.",-1,3,negative,negative
225,"THEN I GOT UP AND WENT OUTSIDE, BECAUSE IT DIDN'T TAKE LONG AND HE WENT BEHIND ME, ASKING ME HOW LONG I WAS WORKING.",-1,2,negative,neutral
226,I SAID I WORKED LATE.,0,3,neutral,negative
227,AND IT'S NOT THE FIRST TIME HE'S TRIED SOMETHING... I DON'T WANT TO GO INTO DETAILS,-1,2,negative,negative
228,I'M GOING TO HOLD HIM TO STAY FAR AWAY FROM ME..... EVEN BECAUSE HE'S NOT CUTE AT ALL.,-1,3,negative,negative
229,"Well, first of all I must express here that she sent me the email below, telling me everything in detail and I guarantee it is 100% true.",0,2,neutral,positive
230,"Arriving at the factory, I did the normal process, when I got to my room I saw the phone ring and when I looked at his name on the display, my heart raced, I answered and we made an appointment to see each other at the exit, I was kind of calm.",1,3,positive,positive
231,"At lunchtime, he calls me and says he has the biggest boner, wow, my body heats up, as something shoots in me at the sound of his voice,",1,3,positive,negative
232,I confirmed and waited for the time.,0,3,neutral,neutral
233,"The inner bus stopped and asked if I would go to Benq, I said no.",0,3,neutral,neutral
234,"They went, I entered the room, he was in front of the computer, when I put the bag and a bag that was, on a table next to him, he kissed with a desire to want more, we started the preliminaries there.",1,3,positive,neutral
235,"We left the factory and went to a nearby place with few stars, but viable, arriving at the room a stand was not very beautiful, but as we were already in the mood for each other we started, but I asked, to clean myself, because I handle parts with oil, grease, etc.",0,2,neutral,neutral
236,"I feel very dirty, so I went in, wet my body, ran my hand over the soap that was on my table, because I had bought it to meet his mother.",0,2,neutral,negative
237,"I'm here to share my sad life, more specifically my sad life as a cocaine addict.",-1,3,negative,negative
238,"It's been more than 5 years that I've suffered from this disease, I've lost a lot and I'm losing more every day, today was one of those days when I thought about suicide, but again I decided to keep trying.",-1,3,negative,negative
239,"I'm alone despite being married, but for some time this marriage has been nothing more than a signed paper, love has gone along with respect and trust, all that's left is self-indulgence, sadness and hopelessness due to lack of my wife.",-1,3,negative,negative
240,"I've done and suffered things that make me feel like crap, I've been through situations that you can't wish even on your worst enemy, today I won't give details, but over time I'll talk about it.",-1,3,negative,negative
241,"I'm alone, my wife spent the day out and said she was at her mother's house, I say she said because I fear I've been betrayed for some time.",-1,3,negative,negative
242,"I've already hurt my wife in so many ways that I don't even have the courage to call her, even though I think she might be in a motel with someone.",-1,3,negative,negative
243,"I don't have the courage to demand loyalty and that for a man is the greatest shame, I'm not a man, I'm not people, I'm nothing with drugs.",-1,3,negative,negative
244,"I'm here, feeling the taste of the drug that still drips down my nose, I'm depressed, bordering on despair and with immense sadness.",-1,3,negative,negative
245,"I know that the excessive sadness is due to the effects of the drug, I know that this chemical sadness will pass, but the real sadness for the life I lead, this one accompanies me every day.",-1,3,negative,negative
246,"I don't know what to say, I don't know what to do, I'm at a loss, I asked even my dog ​​for help in a psychotic hope that he would respond, or do something magical.",-1,3,negative,negative
247,"I just don't have anyone to turn to, I don't have a mother or family because of the disagreements I had with my mother, who was always violent and sick.",-1,3,negative,negative
248,He always lost control and used demonic malice in the beatings he gave me.,-1,3,negative,negative
249,"My father, never really a father figure, overshadowed by my mother's strength.",-1,3,negative,negative
250,"My sister, I have nothing to do with her, she doesn't even exist for me, my brother, I feel sorry for him, but he lives well despite everything.",-1,3,negative,negative
251,"It's midnight now, I'm going to watch a miniseries, delude myself with the hope of happy endings that always exist in it, and hope that one day I have a happy ending of my own.",-1,2,negative,negative
252,"It is now 00:03, I am depressed, alone and uncertain of my future.",-1,3,negative,negative
253,"But I'm still fighting, I've been fighting since the day I gave up trying to kill myself by throwing myself off a slab onto a bamboo tree at two o'clock in the morning of a starry night.",1,2,positive,negative
254,"Well, this is my first text so I'll introduce myself, my name is Kevin, I live in PE.",0,3,neutral,neutral
255,"Since last night, my mom won't even look me in the face or talk to me.",-1,3,negative,negative
256,Today I woke up and she didn't even look at me.,-1,3,negative,negative
257,She has a habit of telling me things and then saying to my face that she didn't say anything about it.,-1,2,negative,negative
258,"Like, last week I did her hair, because I take a hairdressing course, so I have to train, but of course a brush and flat iron, I know how to do it perfectly.",0,3,neutral,neutral
259,"So I did her hair, I brushed it out to match the cut, then she came back saying it was horrible and told me to do it all over again, but inside.",-1,3,negative,negative
260,"Last week, she asked me to do her hair again, so I did it, outside and stuff.",0,3,neutral,neutral
261,"Then she came back saying that it was horrible, that I didn't know how to do anything right, that my course was worthless and that other people do it better than me.",-1,3,negative,negative
262,"kilo hurt me, imagine, it would hurt anyone, wouldn't it?",-1,3,negative,negative
263,"Then when it was today, I, my mother and father were in the living room, then my mother said that I never did anything for her, I was never willing to give opinions about her hair and such.",-1,3,negative,negative
264,"Then I told my father what she had told me that day, she said it was a lie, that I was a liar and she didn't say any of that.",-1,3,negative,negative
265,"Man, honestly, that makes me mad at her.",-1,3,negative,negative
266,Why does she lie like that?,-1,2,negative,negative
267,"And it wasn't the first time, she always lies.",-1,3,negative,negative
268,"She tells me things and then says she didn't, she calls me a liar.",-1,3,negative,negative
269,I like her a lot and I know she loves me.,1,3,positive,positive
270,"My grandmother passed away, I am not able to deal with this situation.",-1,3,negative,negative
271,"I'm afraid of falling into depression again, my heart has an immense void, I try to do everything to occupy my head, pass my time and nothing consoles me, nothing makes me get the image of her last breath out of my head.",-1,3,negative,negative
272,"I love you grandma, continue to take care of me wherever you are, thank you for the wonderful grandma who was with me, for every gesture of affection and smile.",1,3,positive,positive
273,"You were, are, and always will be my warrior, you didn't lose to cancer, but cancer lost you my warrior.",1,3,positive,positive
274,"The lady was still joking, she made us smile and whenever someone said, how are you, Dona Maria?",1,3,positive,positive
275,"The lady always replied, I'm doing well thank God, what a warrior woman you were, grandma, I love you so much.",1,3,positive,positive
276,"What an immense pain this longing is, every day when I wake up I pick up the phone wanting to call to see how you are, I think I still haven't been able to discern all of this.",-1,3,negative,negative
277,"I love you and your every gesture will stay here inside my heart to remind you of your love for us, I love you.",1,3,positive,positive
278,"I will miss you, you are a piece of me that will be greatly missed.",-1,3,negative,negative
279,Why do I feel so bad and negative?,-1,3,negative,negative
280,"I went to the doctor and he said that all these pains I'm feeling are caused by nervousness, and how am I going to stay calm?",-1,3,negative,negative
281,"Not everything went as wrong as it's going now, but I STILL believe this year is going to be good.",1,2,positive,positive
282,"Dude, I cry sometimes without realizing it and bite my mouth so I don't break down in front of someone.",-1,3,negative,negative
284,"Listening to my dad's rubbish and seeing my mom proposing ridiculous things makes me worse, more nervous.",-1,3,negative,negative
285,"More useless pain, no pain to help me grow or mature.",-1,3,negative,negative
286,I just want my life back and I just want this to be over.,-1,3,negative,negative
287,My immunity no longer supports it.,-1,3,negative,negative
288,"I went to the gym straight today, as promised.",0,2,neutral,positive
289,"It was full today and that sucks, it takes longer.",-1,3,negative,negative
290,"I met a new girl there, I think we're going to be friends.",1,3,positive,positive
291,"Only a funny thing happened, actually from day one.",1,2,positive,positive
292,"It's my instructor, like he's straight drooling over my egg man, from the moment I arrive until I leave.",0,3,neutral,negative
293,"The other two times it was also like this, but now it's too much.",0,2,neutral,negative
294,"And I'm a person who doesn't understand when someone is interested in me, but in this case I'm suspicious of it.",0,3,neutral,negative
295,"Today I got there at about 7 o'clock, he came smiling and said the things he had to do, and from device to device he came and told me something.",0,3,neutral,neutral
296,"On the last device he stayed by my side and I said I was tired, then he said: ""If you want, you can stay there until 10 pm, because we close the gym.",0,2,neutral,positive
297,"When I left he gave me a bonbon, serenade of love.",1,2,positive,positive
298,"What's worse is that he's only there at the time I go, and I'm embarrassed about that, right?",-1,3,negative,negative
299,"But, I didn't even bother him, not least because he didn't even ask me for anything, he just treated me that way, kissing my ass.",0,2,neutral,negative
300,"I'm having dinner, making out with the most handsome boy in the world.",1,3,positive,positive
301,"Well, today my friends and I came up with the idea of ​​doing the Pen Game.",0,3,neutral,neutral
302,Maybe the way my friends and I do it is wrong but it seems to be real.,0,3,neutral,neutral
303,Well my name is Daniele Felix I'm 15 years old and I don't have anyone to talk to so I chose here.,-1,2,negative,negative
304,I'm upset with everything that's happening to me.,-1,3,negative,negative
305,A few months ago I met a friend and he started giving me ideas and I started to believe he said so many beautiful things.,0,2,neutral,positive
306,"I was very sad because I liked him a lot and I was willing to do everything for him and the tears fell without control so I told my friend everything, she is helping me a lot.",-1,2,negative,negative
307,But he left me as a second option.,-1,2,negative,negative
308,"I went to a barbecue at a friend's house, and I met her, Carol her name, later I found out it was Jessica but that's ok.",0,2,neutral,neutral
309,"I stayed with her and then we went to a motel, that day I joked with her saying that she would fall in love with me.",1,3,positive,neutral
310,"I confess that I enjoyed being with her a lot, it was very good, but I left, I thought she wouldn't want to see me again.",1,2,positive,positive
311,After some time we ended up seeing each other and hooking up more often.,1,2,positive,neutral
312,"But there is something about her that bothered me a lot, her way of seeing life was vulgar, she thought only of parties, going out drinking, enjoying herself, as if that were in the first place in her goals.",-1,3,negative,negative
313,"But now before I finish, I'm feeling strange, I think I ended up liking her, her way of taking care of me, of wanting me to be with her all the time, her way of feeling jealous, and of always wanting me close to her, of always saying that she misses her, that she doesn't mind spending time with me locked in a room talking, to be honest, I'm going to miss her.",-1,2,negative,positive
314,"Right now I'm avoiding her, and it's giving me a squeeze, in my heart, but I have to do this, there's no way to go on, and I'm very jealous and intolerant of these kinds of things, there's not the slightest chance that she and I will work out .",-1,3,negative,negative
315,"I will miss her, but that's life, sometimes we have to give up something, so we can continue on our way.",-1,2,negative,neutral
316,"Lately I've been very compulsive - for masturbation with the vibrator, for food, a little aggressive, shaking myself, biting myself, teasing me.",-1,3,negative,negative
318,"It wasn't really a fuck, but it was nice.",1,2,positive,neutral
319,"And we had sex twice more in a motel - I didn't reach orgasm, to tell you the truth, my vibrator gives me more pleasure, but anyway, I accept everything that gives pleasure.",0,2,neutral,negative
320,"In the last psychiatric consultation, he wanted to give me a neuroleptic (I refused at the time, I'm out of gaining weight) and in return he suggested a mood stabilizer.",0,2,neutral,neutral
321,"He kind of suggested that I have borderline personality and bipolar spectrum (cyclothymia) anyway, nothing I didn't already suspect.",0,3,neutral,neutral
322,I did not accept the stabilizer for the same reason as risperidone.,0,3,neutral,negative
323,"I'm a fat whale, I don't want to get fat anymore and that's it.",-1,3,negative,negative
324,Then he thought I was better and put only one fluoxetine pill in the prescription.,0,2,neutral,neutral
325,"Admittedly, having these hypomanic episodes is kind of embarrassing - but being depressed and suicidal isn't cool either.",-1,3,negative,negative
326,I've been very stressed lately.,-1,3,negative,negative
327,I fought with my mother because of the laptop she didn't want to lend me to do my work and I burned myself with the candle.,-1,3,negative,negative
328,I got a new laptop.,1,2,positive,neutral
329,"I had a crying fit while having sex with my boyfriend, accusing him of not loving me, of treating me like an object and for him not to touch me anymore.",-1,3,negative,negative
330,He wanted to have anal sex on me and he was insisting a lot.,-1,2,negative,negative
332,"Okay, my reaction was super exaggerated, it didn't have to be that way.",-1,3,negative,negative
333,"Then he told me that I value and devalue him very quickly, that I constantly change my mood, at times I'm sad and at other times super happy, and he asked me if I had any personality or mood disorders.",-1,2,negative,negative
334,I am writing disjointed words because my mind is disjointed.,-1,2,negative,negative
335,My thinking is confused and disorganized.,-1,3,negative,negative
336,"Yes, it embarrasses me, I like to be in control.",-1,3,negative,negative
337,I'm in charge during sex.,0,2,neutral,negative
338,"I get on top of him, I ride, I say I paid for this fucking motel for an hour and a half and I want to have sex until an hour and a half.",0,2,neutral,negative
339,Finally on vacation.,1,2,positive,positive
340,"Well, my shrink wanted me to try being on a single fluoxetine pill.",0,2,neutral,neutral
341,It wasn't even 2 weeks and I couldn't stand it and asked him to go back to the previous dosage - 2 pills.,-1,3,negative,negative
342,"I was the whole time 'I want to kill myself, kill myself' I wasn't sleeping, anguish and screaming anxiety, crying over every little thing.",-1,3,negative,negative
343,"Lately, my sexual and aggressive instincts have been coming to the fore.",-1,2,negative,negative
344,And I think I'm getting addicted to looking at pornography on the internet.,-1,2,negative,negative
345,"Well, I can't take this anxiety anymore.",-1,3,negative,negative
